Grouping_Day,Total_Ret_Winner,Total_Ret_Loser,Total_Ret_W_minus_L,CAGR_Winner,CAGR_Loser,CAGR_W_minus_L,MDD_Winner,MDD_Loser,MDD_W_minus_L,Sharpe_Winner,Sharpe_Loser,Sharpe_W_minus_L,Sortino_Winner,Sortino_Loser,Sortino_W_minus_L,Num_Periods,Avg_Holding_Days,Avg_Winner_Holdings,Avg_Loser_Holdings
5,13.22,-0.13,3.66,0.18,-0.01,0.10,-0.25,-0.63,-0.22,1.26,0.03,1.11,1.41,0.04,1.97,3996,30,552.97,552.98
10,13.42,-0.17,3.94,0.18,-0.01,0.11,-0.25,-0.63,-0.22,1.31,0.02,1.24,1.39,0.02,1.98,3991,30,553.06,553.06
15,11.36,-0.08,2.82,0.17,-0.01,0.09,-0.27,-0.63,-0.22,1.24,0.06,1.04,1.31,0.06,1.63,3986,30,553.17,553.17
20,12.41,-0.08,3.14,0.18,-0.00,0.09,-0.26,-0.63,-0.22,1.29,0.06,1.12,1.38,0.06,1.80,3981,30,553.28,553.27
Month_End,13.94,-0.04,3.44,0.19,-0.00,0.10,-0.26,-0.63,-0.22,1.25,0.07,0.99,1.45,0.07,1.89,3981,30,553.30,553.30
